No.,Airlines,Tweet_Text,created,Twitter_screenname,Followers,id,location
28,Indigo,"@IndiGo6E Flight #6E 2015, @ Bangalore airport,  you mixed up the baggage services big time. I had to collect my bags first from belt from 7 and then further from belt 3. All of these took an additional 90min on my schedule. Care giving an explanation ?",2022-05-07 17:11:35+00:00,Kit_chu,228,1.52E+18,Bangalore
29,Indigo,"@IndiGo6E Best airport would be Delhi Airport let it be any terminal. The service quality, the ambience, the stores, the lounges, &amp; most importantly the innovations",2022-05-07 17:10:35+00:00,RealARJ2020,8,1.52E+18,
30,Indigo,"@octapodcast @UpdatesChennai @IndiGo6E Still Those airlines made a step for all Passengers
Unlike @IndiGo6E where they did only Hindi Briefing for a Flight within Tamil Nadu...
Fool will be a Fool Period!!",2022-05-07 17:07:45+00:00,apprajit1,25,1.52E+18,
31,Indigo,"@IndiGo6E Donot you make announcements for final boarding call?
Just missed the flight from Del to AUH!!! As gate was changed",2022-05-07 17:07:05+00:00,Sakumanu143,47,1.52E+18,dubai
32,Indigo,@IndiGo6E Please start a flight to kandla,2022-05-07 17:06:52+00:00,bhushankothari4,34,1.52E+18,"Pune, India"
33,Indigo,"@shashan40841321 @UpdatesChennai @IndiGo6E Atleast Emirates dint Impose Hindi... They had regional Language Menu and Infotainment system
And yes you too have replied in English.. English has been imposed all over the World so is it a Humanitarian Error?
E",2022-05-07 17:06:37+00:00,apprajit1,25,1.52E+18,
34,Indigo,"To begin with, I had booked a flight from Patna to Delhi for 11th May 2022 from Indigo. Stating the booking is under partially refundable. Since COVID cases in Delhi are rising, I wish to postpone trip and cancel booking, recovered from severe COVID in 2020 @IndiGo6E #FullRefund",2022-05-07 17:05:27+00:00,akshatraj2606,25,1.52E+18,"Pune, India"
35,Indigo,RT @HawaldarVish: Hey @IndiGo6E can you resolve (Your case reference number is 4642267) immediately? @RajnishVishwaka,2022-05-07 17:04:28+00:00,RajnishVishwaka,43,1.52E+18,Delhi
36,Indigo,"RT @0045manish: @IndiGo6E Bilaspur(PAB). Although you don't serve it, but it is my favorite airport.",2022-05-07 17:03:27+00:00,AirportBilaspur,1924,1.52E+18,"Bilaspur Airport,Chhattisgarh "
37,Indigo,@K_Anish02 @IndiGo6E @aaipunairport Nice joke ;),2022-05-07 17:02:39+00:00,imsarthak_18,93,1.52E+18,"Pune, India"
38,Indigo,@IndiGo6E @BLRAirport in India and @ChangiAirport and @DXB overseas top the list,2022-05-07 17:01:16+00:00,DholRaj,40,1.52E+18,"Omnipresent, S'pore & B'lore"
39,Indigo,RT @virsanghvi: Hello ⁦@airindiain⁩ if a low cost carrier like ⁦@IndiGo6E⁩ can deliver economy class luggage quickly on payment of a small…,2022-05-07 16:58:16+00:00,lssubramanian,2088,1.52E+18,"Mumbai, India"
40,Indigo,@virsanghvi @airindiain @IndiGo6E @TataCompanies @airindiain  sucks. Worst airline service in India,2022-05-07 16:57:22+00:00,hanifkhan99,124,1.52E+18,"Karnal, India"
41,Indigo,"@IndiGo6E 
Can iron to press the clothes be carried in checkin luggage ?
Please help.",2022-05-07 16:56:28+00:00,binaganj,20,1.52E+18,Mumbai
42,Indigo,@amar1301 @AeroSaleem @jetairways @TheSanjivKapoor @IndiGo6E @airvistara @airindiain @AirAsiaIndia @DGCAIndia @JM_Scindia @rohit_malik_g Morning how are you,2022-05-07 16:55:55+00:00,Isamuha92733307,21,1.52E+18,
43,Indigo,@AeroSaleem @jetairways @TheSanjivKapoor @IndiGo6E @airvistara @airindiain @AirAsiaIndia @DGCAIndia @JM_Scindia @amar1301 @rohit_malik_g Happy birthday my friend,2022-05-07 16:54:54+00:00,Isamuha92733307,21,1.52E+18,
44,Indigo,"Greetings to all , please find the details of  flights Scheduled at @aaihbxairport on 08th May  2022. @aaihbxairport wishes you all a  safe and happy journey. @AAIRHQSR @AAI_Official @IndiGo6E @OfficialStarAir https://t.co/gN8zF6Koil",2022-05-07 16:52:44+00:00,aaihbxairport,4384,1.52E+18,"Hubli, India"
45,Indigo,@virsanghvi @airindiain @IndiGo6E @TataCompanies Why spend so much money to buy an airline and then not manage properly.,2022-05-07 16:50:05+00:00,amar_in_vaidya,15,1.52E+18,
46,Indigo,@virsanghvi @airindiain @IndiGo6E @TataCompanies There is certainly something going wrong with the service quality since the Tata takeover. Air India website and call center remain shambolic,2022-05-07 16:49:21+00:00,amar_in_vaidya,15,1.52E+18,
47,Indigo,@IndiGo6E @IndiGo6E is it mandatory to carry negative RTPCR report to travel ti coimbatore from Mumbai inspite of being fully vaccinated??,2022-05-07 16:49:04+00:00,subu02121982,12,1.52E+18,
48,Indigo,"@IndiGo6E IGI Airport - Delhi 
A treat to ones eyes! Beautiful Architecture, Clean, Swanky, Ease of access, Great people  !",2022-05-07 16:43:11+00:00,subodhsaluja,78,1.52E+18,"Gurgaon, India"
49,Indigo,"It’s been 30 minutes since my flight 6E 6108 has landed. There’s still not a single luggage on the belt. All the passengers are waiting. Another flight would’ve landed in this much time. 

Such a pathetic ground force. @IndiGo6E 

Hope yours is better @airindiain @airvistara . https://t.co/AVBPT7VwYj",2022-05-07 16:40:46+00:00,iamritikparmar,0,1.52E+18,"Mumbai, India"
50,Indigo,"@sanghavi91 @sonalbhutra @IndiGo6E Show your verified twitter account, then tell them you are anchor, CA in cnbc. You have to be influential enough that making noise on social media can get the company bad PR. In this fear they will even give you extra fl",2022-05-07 16:40:24+00:00,KartikP_IN,0,1.52E+18,India
51,Indigo,"Dear @IndiGo6E when u r charging for FastForward, u must also train ur ground staff acc’ly. My bag was in the last 10 bags despite FFWD. Reported the matter at the counter at T2 Delhi. #Indigo",2022-05-07 16:38:32+00:00,Dalal_NS,33,1.52E+18,"Bahadurgarh, India"
52,Indigo,@STANLEY97783921 @TataCompanies @airvistara @FlyWithIX @IndiGo6E @flyscoot @ChangiAirport @SingaporeAir @SingaporeCAAS @aaiTRZairport @Trichyportal @TrichyTreasures @TrichyInfra @mythili3012 @VBJaganath @Ubai_h Without using Air India's slots or Jet Airwa,2022-05-07 16:38:20+00:00,TrichyAviation,4578,1.52E+18,"Tiruchirappalli, India."
53,Indigo,@AshisDa24085519 @aaichnairport @IndiGo6E @forever6e @AAI_Official U r cute,2022-05-07 16:38:15+00:00,JuryWaio,1,1.52E+18,
54,Indigo,@IndiGo6E Did you ?,2022-05-07 16:36:51+00:00,nksbbs,13,1.52E+18,Bhubaneswar
55,Indigo,"@whitepaper_13 @AKASHCHANDAKJDP @IndiGo6E @JM_Scindia @ushapadhee1996 @AAI_Official Ok, hope civilians will to get this Facilities in coming days...",2022-05-07 16:34:35+00:00,sach288,26,1.52E+18,
56,Indigo,"@IndiGo6E Mumbai T2 ✨ and Changi. However, quickest and the most hassle-free boarding for me has always happened to be in Chennai",2022-05-07 16:33:22+00:00,YouGoManWhyMe,1191,1.52E+18,
57,Indigo,@sach288 @AKASHCHANDAKJDP @IndiGo6E @JM_Scindia @ushapadhee1996 @AAI_Official Only for special for forces,2022-05-07 16:30:51+00:00,whitepaper_13,132,1.52E+18,"Bilaspur, India"
58,Indigo,"@IndiGo6E .. condition of my baggage after my trip from Kolakatta to Chennai on 04.05.22 on 6E892, when I collected it from Chennai at 16.40. pathetic responsibility of customers valuables.. shame on you https://t.co/KyopgBjBWQ",2022-05-07 16:28:58+00:00,SarathsankarmM,2,1.52E+18,
59,Indigo,@DevKumarB2 @IndiGo6E  have highest No of IAF pilots as well  their kids as pilot &amp; Cabin crew. Its like another IAF out of IAF🙏🇮🇳,2022-05-07 16:28:48+00:00,Bikash63,326,1.52E+18,Bengaluru
60,Indigo,@IndiGo6E At 2155 hrs. Thanks. 👍,2022-05-07 16:26:20+00:00,bangdacurry,64,1.52E+18,Goa
61,Indigo,"@_anujsinghal @IndiGo6E is really rude and pathetic.

All these possible in third world only.

They dot really care till you take them to task using higher ups from ministry.",2022-05-07 16:25:01+00:00,kumar_invest,1537,1.52E+18,Earth
62,Indigo,"@IndiGo6E I have traveled a lot throughout India and have seen many airports. Travelling by flight is fun-filled adventure before reaching the actual destination. Some of the best airports of India seems like shopping malls rather than an airport such as,",2022-05-07 16:22:34+00:00,Nirbhay30999864,47,1.52E+18,West Champaran(Bagaha-१)Bihar
63,Indigo,@IndiGo6E PNR PWHDNW - Travelling for First Time in Flight - emergency at home - request for adequate assistance at Chennai Airport where he has a stop over of 6 hours. Name and contact number of traveller is being DM. Hope that he receives your support.,2022-05-07 16:22:14+00:00,nakulparameswar,172,1.52E+18,
64,Indigo,@DevKumarB2 Better fly by @IndiGo6E  might meet my small daughter as Cabin crew A320/321 Blr base. Else @airindiain  I stopped train fully since last Blr Gau journey on 26 Dec 2016. The catering/Maint staff wanted assault me. Min Prabhu provided 9RPF from,2022-05-07 16:20:38+00:00,Bikash63,326,1.52E+18,Bengaluru
65,Indigo,"RT @IndiGo6E: Tell us about your favourite airport.

#LetsIndiGo #Aviation #Airport",2022-05-07 16:20:20+00:00,Nirbhay30999864,47,1.52E+18,West Champaran(Bagaha-१)Bihar
66,Indigo,"@DGCAIndia @JM_Scindia a scam is going on @IndiGo6E ... they force people to deliberately buy seats in their flight.people hv to do web checkin and show half seats in flight when doing online check in &amp; if people try to skip it, their app doesn't allo",2022-05-07 16:19:37+00:00,amazing_utsav,263,1.52E+18,"वाराणसी, भारत"
67,Indigo,@IndiGo6E Travelling on 6E6049 on 4th May with PNR No- VNGDWM. This photo was taken in mobile camera on board by me over Bangaladesh airspace. How is it? https://t.co/Dzxhdvr33M,2022-05-07 16:16:24+00:00,bkmallik12,13,1.52E+18,
68,Indigo,"@sonalbhutra @IndiGo6E Same happened to me! Two years back, they didn't even hear anything and just denied boarding and i booked a new flight for the next day as they didn't have any flight for the whole day.",2022-05-07 16:15:35+00:00,pritikapokharna,44,1.52E+18,"Ahmadabad City, India"
69,Indigo,@TrichyAviation @TataCompanies @airvistara @FlyWithIX @IndiGo6E @flyscoot @ChangiAirport @SingaporeAir @SingaporeCAAS @aaiTRZairport @Trichyportal @TrichyTreasures @TrichyInfra @mythili3012 @VBJaganath @Ubai_h @airvistara should seriously explore flights ,2022-05-07 16:11:52+00:00,PrakaashPal,45,1.52E+18,
70,Indigo,@IndiGo6E Again wrong information passed by u.Nobody contacted me.The worst ever experience fr Indigo.Basically yr services has been detoriating day by day.Kindly refund me meal amt.again for yr information in connecting flight meal was served to me wn fl,2022-05-07 16:11:44+00:00,RajeevN55069297,2,1.52E+18,
71,Indigo,"@IndiGo6E But it didn't happened and i was charged, why?",2022-05-07 16:11:16+00:00,bhavneetSAhuja,51,1.52E+18,
72,Indigo,"@IndiGo6E Madurai (IXM) where 6E started with the promise of a daily flight to SIN during the inauguration but no intl flight so far out of IXM. Please introduce flights to SIN, KUL, MCT, AUH, DXB, SHJ from IXM and one stop connections from IXM to CCU and",2022-05-07 16:08:39+00:00,IXMPDX,5,1.52E+18,
73,Indigo,@apprajit1 @UpdatesChennai @IndiGo6E english imposing emirates?,2022-05-07 16:07:48+00:00,shashan40841321,4,1.52E+18,India
74,Indigo,@sonalbhutra @IndiGo6E They have such a crazy rule!,2022-05-07 16:07:24+00:00,anuradha_author,1534,1.52E+18,Singapore
75,Indigo,@IndiGo6E OKSFYS: rude behaviour and ignorance complaint against Ms Charmi and She was busy flirting with some sikh staff at counter. I also found her abusing pax lightly. Then she diverted the conversation. I am hell feeling insulted and sad. Wont travel,2022-05-07 16:06:34+00:00,Raj03061,0,1.52E+18,
76,Indigo,"@IndiGo6E Though I’m waiting for new Green field Airport for Chennai, I like RGIA Hyderabad.",2022-05-07 16:05:41+00:00,PrakaashPal,45,1.52E+18,
77,Indigo,@virsanghvi @airindiain @IndiGo6E @TataCompanies The services should get better for sure and we should see some improvements in near future going ahead. Processes and people take time to evolve and improve.,2022-05-07 16:04:03+00:00,ramanbansal_rb,165,1.52E+18,"Gurgaon, India"
78,Indigo,@TrichyAviation @TataCompanies @airvistara @FlyWithIX @IndiGo6E @flyscoot @ChangiAirport @SingaporeAir @SingaporeCAAS @aaiTRZairport @Trichyportal @TrichyTreasures @TrichyInfra @mythili3012 @VBJaganath @Ubai_h It'll take years may be vistara can come forw,2022-05-07 16:02:57+00:00,STANLEY97783921,20,1.52E+18,SALEM CITY
79,Indigo,@IndiGo6E @RGIAHyd without any doubt or a second of hesitation. that place is simply brilliant,2022-05-07 16:00:55+00:00,Sankar1776,52,1.52E+18,
80,Indigo,Is @IndiGo6E flying from T2 or T1 in Mumbai?,2022-05-07 15:58:54+00:00,abvermma,31,1.52E+18,Mumbai
81,Indigo,"@IndiGo6E We appreciate your concerns but as it involved the safety of all passengers life , crew kindly share the findings and I would request to kindly take feedback from other passengers on the same flight !",2022-05-07 15:57:39+00:00,Anandkapoor19,18,1.52E+18,
82,Indigo,"🇸🇬 16,287 pax with 90% of load were travelled from Trichy to Singapore during April. Singapore Airlines / Vistara will start new service? Air India Express, Indigo, Scoot will add more service? @TataCompanies @airvistara @FlyWithIX @IndiGo6E @flyscoot @ChangiAirport @SingaporeAir https://t.co/zq9MZQckmZ",2022-05-07 15:56:23+00:00,TrichyAviation,4578,1.52E+18,"Tiruchirappalli, India."
83,Indigo,@PunuPankaj @virsanghvi @airindiain @IndiGo6E @TataCompanies I think YOU should stop “VIP Culture” and carry your own bag on your head and walk to your destination. Why should you get to fly &amp; have your bags carried while poor people have to walk?,2022-05-07 15:55:47+00:00,ameetbabbar,18931,1.52E+18,new delhi
84,Indigo,"@IndiGo6E i have a flight tomorrow from Mumbai to Agra.
What all I need to carry ?",2022-05-07 15:55:12+00:00,raghav_bansal23,87,1.52E+18,Bangalore
85,Indigo,"Shout out toTiara and crew of @IndiGo6E flight 6E 5993 today. We were travelling with 5 month twins who can not stop crying in their first flight and they were absolutely gem with them. Special thanks to Chandra, who was the only one to make our son laugh in flight.",2022-05-07 15:55:11+00:00,Akshay01shukla,167,1.52E+18,"Amethi, India"
86,Indigo,@IndiGo6E Bokaro.... Whenever it starts 😍,2022-05-07 15:54:33+00:00,aksi3155,28,1.52E+18,"Bokaro Steel City, India"
87,Indigo,@IndiGo6E Would really appreciate if you could revert at earliest. Unfortunately Tissot was very close to me as it was first gift to my wife. I m really lookin forward to and hoping they would be with you (safe hands) n will receive soon. Thanks. Happy to,2022-05-07 15:50:49+00:00,saurabh_dayama,201,1.52E+18,Couch 
88,Indigo,@virsanghvi @airindiain @IndiGo6E @TataCompanies must be their garib kalyan scheme from the Sarkari days.,2022-05-07 15:50:40+00:00,bharatantrafor1,27,1.52E+18,
89,Indigo,"@IndiGo6E Hi there, It feels great to see the flight running from Jagdalpur, Bastar, Chhattisgarh (JGB) to New Delhi (Del) for our hard working Soldiers, We hope that the commercial flight for the same route will also make its way very soon.",2022-05-07 15:49:35+00:00,ShivamJss15,10,1.52E+18,"Jagdalpur, India"
90,Indigo,@KRISHNA96338033 @IndiGo6E @NayyarRajkaran @balliapolice Please help @NayyarRajkaran sir,2022-05-07 15:49:32+00:00,JigneshMotivar9,119,1.52E+18,"Gujarat, India"
91,Indigo,@BLRAirport @IndiGo6E fflight 6E 355 landed at 8:55 and the aircraft has been on the taxi way for almost 22 minutes now? Why?? Y it has to travel from one end to the other??,2022-05-07 15:47:28+00:00,NIKNAIK2203,79,1.52E+18,
92,Indigo,"@IndiGo6E Hello Sirs, we (me and my wife) travelled from Delhi to Pune on 1st May by flight 6E 147 starting 23:20 and we missed to pick up our watches (a silver Tissot &amp; Brown Fossil one) we dropped @ seat front covers. Could you pls help us on this. ",2022-05-07 15:46:11+00:00,saurabh_dayama,201,1.52E+18,Couch 
93,Indigo,@IndiGo6E New Delhi,2022-05-07 15:45:58+00:00,RHazarikaAssam,10,1.52E+18,"Guwahati, India"
94,Indigo,"RT @TanveerShetty1: @KRISHNA96338033 @IndiGo6E @NayyarRajkaran @balliapolice Please Help @NayyarRajkaran Sir
@balliapolice",2022-05-07 15:42:19+00:00,TanveerShetty1,169,1.52E+18,India
95,Indigo,"@KRISHNA96338033 @IndiGo6E @NayyarRajkaran @balliapolice Please Help @NayyarRajkaran Sir
@balliapolice",2022-05-07 15:42:14+00:00,TanveerShetty1,169,1.52E+18,India
96,Indigo,"We were denied pre-booked meals onboard 6E143 (Aizawl to Guwahati) today (PNR ZNWQHZ). This was one leg of a compound journey and my kids had to remain hungry throughout the whole journey. That's an innovative way to remain ""lean and clean"" - I must agree! @IndiGo6E",2022-05-07 15:39:55+00:00,arnabbandyo,56,1.52E+18,"Nirjuli (Itanagar), India"
97,Indigo,"@IndiGo6E Even after web check-in we were charged to get seats. Even with vacant seats on plane, why is it not your responsibility to provide default seats?",2022-05-07 15:39:46+00:00,bhavneetSAhuja,51,1.52E+18,
98,Indigo,"@IndiGo6E hii, male indigo i left my ipad at the male airport pls help me find it . Male to delhi flight 6E1787. Its an apple ipad 11 pro with an apple apple pencil and it’s in a black colour cover .",2022-05-07 15:38:11+00:00,chahakarmani_1,4,1.52E+18,
99,Indigo,@IndiGo6E Now the flight is delayed because the pilot is late that's the nice reason.,2022-05-07 15:37:45+00:00,mahaveerrjainn,0,1.52E+18,"Bengaluru South, India"
100,Indigo,RT @ankitgarg567: @IndiGo6E @DGCAIndia when someone is not able to board the flight due to stuck in cyclonic weather  (NEIL ISLAND; ANDAMAN…,2022-05-07 15:34:50+00:00,soumava123,3,1.52E+18,bangalore
101,Indigo,Hey @IndiGo6E can you resolve (Your case reference number is 4642267) immediately? @RajnishVishwaka,2022-05-07 15:32:56+00:00,HawaldarVish,15,1.52E+18,"Uttar Pradesh, India"
102,Indigo,RT @viv_chand: @virsanghvi @airindiain @IndiGo6E @TataCompanies Not at all surprising.  Used to also be the case with @TurkishAirlines My e…,2022-05-07 15:31:26+00:00,virsanghvi,4248321,1.52E+18,"Delhi, India"
103,Indigo,"RT @RAHULYA13854449: @KRISHNA96338033 @IndiGo6E @NayyarRajkaran @balliapolice Please Help @NayyarRajkaran Sir
@balliapolice",2022-05-07 15:30:17+00:00,KRISHNA96338033,561,1.52E+18,"Uttar Pradesh, India"
104,Indigo,@IndiGo6E big fan of indigo when I travel by other airlines always try to book 6E seat number. https://t.co/OG0dWSSYZx,2022-05-07 15:28:38+00:00,SaurabhKiyu,7,1.52E+18,AHMEDABAD
105,Indigo,"@IndiGo6E Is there a cap on the capacity of power Bank which can be carried in hand baggage? If yes, what's the max limit ?",2022-05-07 15:26:38+00:00,z_shubham,21,1.52E+18,
106,Indigo,"RT @aaiblgairport: #AzadiKaAmritMahotsav 
 7th May,22
 Arr-8
 Dep-8
Pax footfall
Arr:588
Dep:600
Total=1188
""AMBULIFT""facility is available…",2022-05-07 15:26:13+00:00,jaysingh_rajput,89,1.52E+18,"Belgaum, India"
107,Indigo,"@VaMpIr3PrInC3 @IndiGo6E I just wonder the would be the condition of someone, if someone was going for any job/interview..people book flight to save time but here someone is wasting doing nothing.. This is unexpected from Indigo.",2022-05-07 15:24:33+00:00,MaharanaIna,138,1.52E+18,
108,Indigo,@IndiGo6E BLR @BLRAirport and BBI @BPIABhubaneswar,2022-05-07 15:23:04+00:00,sankar_cooldude,55,1.52E+18,"Baripada, India"
109,Indigo,@IndiGo6E The amount cannot vanish in between for sure. Please recheck with your finance team if they can trace my missing refund amount. It’s the airlines responsibility to make sure to refund if not to investigate the error. #RBI @RBI @MoCA_India @DFS,2022-05-07 15:21:08+00:00,MadhuKilari,3,1.52E+18,"Dubai, United Arab Emirates"
110,Indigo,RT @VaMpIr3PrInC3: @IndiGo6E what nonsense is going on? My brother was meant to travel from HYD to BBI to attend a really important family…,2022-05-07 15:21:01+00:00,MaharanaIna,138,1.52E+18,
111,Indigo,@IndiGo6E @DGCAIndia when someone is not able to board the flight due to stuck in cyclonic weather  (NEIL ISLAND; ANDAMAN) do we still have to reschedule the flight by paying extra charges??,2022-05-07 15:17:53+00:00,ankitgarg567,141,1.52E+18,NEW DELHI
112,Indigo,RT @ShettySena: @KRISHNA96338033 @dalpatSunielian @IndiGo6E @NayyarRajkaran @balliapolice Pls help him,2022-05-07 15:17:25+00:00,KRISHNA96338033,561,1.52E+18,"Uttar Pradesh, India"
113,Indigo,@IndiGo6E I am keep following from #Dubai and my family back to @IOBIndia but the bank says it’s not credit in the account and I have forwarded the passbook copy as well by mail. If u are so sure provide by mail the screen shot where it’s visible the ,2022-05-07 15:16:21+00:00,MadhuKilari,3,1.52E+18,"Dubai, United Arab Emirates"
114,Indigo,@IndiGo6E We have a flight tomorrow from #PortBlair which we will not be able to board bcz we are stuck at Neil island due to cyclone ... How can you help us in this??,2022-05-07 15:15:23+00:00,ankitgarg567,141,1.52E+18,NEW DELHI
115,Indigo,@virsanghvi @airindiain @IndiGo6E @TataCompanies The baggage arrival speed is equivalent to the state of the Indian economy right now..!!,2022-05-07 15:14:05+00:00,THEPUNISHER24X7,52,1.52E+18,India
116,Indigo,@KRISHNA96338033 @dalpatSunielian @IndiGo6E @NayyarRajkaran @balliapolice Pls help him,2022-05-07 15:13:46+00:00,ShettySena,1502,1.52E+18,"Rajasthan, India"
117,Indigo,@virsanghvi @airindiain @IndiGo6E @TataCompanies Not at all surprising.  Used to also be the case with @TurkishAirlines My experience with @SingaporeAir on the other hand was instructive.  In multiple countries it was not surprising to see the SQ manager ,2022-05-07 15:12:41+00:00,viv_chand,324,1.52E+18,"Dubai, United Arab Emirates"
118,Indigo,@IndiGo6E IXR - MY HOMETOWN.,2022-05-07 15:11:55+00:00,Vrishchik0,134,1.52E+18,"West Bengal, Bharat. "
